T_Name,T_UNID_Project
Ezh Camp,12844
F.U.N. Camp,12348
FALLOUT SHELTER,12033
"False Profit, LLC",12964
Fandango,12689
Fantasy Funhouse & Wheel of Karma,12106
Fickleodeon,12847
First Transdimensional Bank+Church,13005
Fixxxation Station,12350
Fiz Juice!,12400
Flattery Camp,12061
Free Movement Zone,12720
Free Photography Zone,12085
Free Tribe-Tantra Temple,12816
Freedom lounge,12243
freedomcommunity ,12801
FreeStyle Palace,12598
Frogma,12522
From Silks to Medicine Sticks,12060
Funky Town,12272
Furniture Car Rally Camp,12162
Fusion Valley,13011
Gallavant Goddesses and Lost Boys,12554
Ganesh's Transmutation Station,12252
Garage Mahal,12764
Garden of DeLights,12355
Garden of Hedon,12951
Gathering of the Sphere,12833
GATO,12783
Gay Rd Village,12508
Gedi Prime,12359
Gender Blender,12467
Genesis,12502
Genesis: The Creationist Bar,12466
Genetic Mutant Petting Zoo,12845
Genital Portrait Studio,12630
Get Nailed ~ Nail Painting Salon,13019
Gigsville,12666
Gnome Camp,12600
God Box,12198
goddess wish camp,12020
Golden Cafe,12999
good enough camp,12568
Great Balls of Fire & Post Office,12841
Green Shamballah Camp,13012
Gypsy Fleet,12643
Gypsy Witch Camp,12483
H.M.S. Nautitickle,12729
Hair of the Dog,12421
Hammock Hangout & RV[IP} Lounge,12699
Hang-Out,12388
Happy Camp,12864
Hardly Davidson Cafe,12358
Heaven's Ghetto,12255
HeeBeeGeeBee Healers,12286
HiLuxury,12966
Hippocampus,12551
Hokey Pokey Camp Man or Monkey,12090
Home Brew 4A Home Brew,12314
Home Free Dome,12831
Homeland InSecurity,12193
Homeslice,12599
Homeslice,12928
Honi Soit Croquet Club,12601
Hookah Homestead,12382
Hookahdome,12963
Horny Camp!,12606
HOT WHEELZ CAMP,12571
HOT WHEELZ CAMP,12947
Huevos Ranch Eros,12546
Human Frolic Project,12638
Humboldt Beauty Bar,12877
Hushville,12765
Ice-olution,13000
Idle Hands,12471
Illumination Village,12475
"I'm OK, You're OK Corral",12941
Image Node,12464
In Dust We Trust,12750
IncendiaryIntent,12105
Insomniac Cafe,12550
Interaction Cafe,12539
introspectacle,12701
Iron Rose,12485
Island of the Lost Cupcakes,12233
JellyBelly,12935
Jerk Camp,13004
Jingleheimer,13014
JOBI Playground Games,12811
Journey's,12133
Jub Jub's Plastic Circus,12803
Just Show Up Camp,11994
Kamera Sutra,12363
KAmp kaLE,12486
Kamp Kammaniwannalaya,12137
Kamp Suckie Fuckaye,12403
Kamp Suckie Fuckaye,12865
k?n'd?r,12942
Kanuckistan Research Station,12482
KaPilina,12785
Kegel Kamp and Jewelry Exchange,12538
Kentucky Fried Camp,12636
KidsVille,12088
Kimchi Camp,12450
Knarly Carnival,12124
Kostume Kult,12759
Landing Strip,12944
Lego Land,12405
Lenny Camp,12514
Leopard Martini Lounge,12532
Leopardy Lair,12708
Lil Town,12589
Liminal Labs - Amino Acid Arcade,12698
Lollipop Shot Camp,12360
Love Knot,12148
Love Potion Camp,12704
Love Puddle Playground,12511
Love to Bone,12612
LOVELUTION (II),12660
Love-U-Lopian (Tube),12852
Low-Key,13003
Lustre Village,12645
Mad Flava!,12549
Mage Camp,12596
Margarittaville,12468
Martini Village,12305
Math Camp @ Group W,12717
McMoney&Drugs,12462
Meanderthals,12709
Medusa,12771
Metamorph,12130
Midnight Poutine,12654
Midnight Ridazz,12488
Midnight Ridazz,12719
Mind Shaft Society,12373
Ministry of the Magical Mustache,12631
Miracle Fruit Camp,12797
Mischief Camp,12396
MiscreAnt Hill,12330
Mission Country Club,12445
Mohammeds Mini Martini and Erotica,12481
Moist,12950
Mondo Spider,13018
monkey camp,12992
MonkeyNutz ,12285
Monticello,12487
Moonbow Camp,12099
Moonrock,12800
Mootopia,12722
Mothers of InVENTion,12737
Mudskipper Cafe,12744
Museum of Unnatural History,12779
MUTANT ALIEN BEAUTY SPA,12136
Mutant Bikology Camp,12788
Mutant Mo's Last Chance Saloon,12418
Mutation/Creation,12676
Mystikal Misfits,12331
N.I.P.S.,12834
Naked Ninjas,12281
Nectar Village,12366
nevada barbarians,12128
New Jersey,12391
New Warrior Camp,12290
NEXUS,13008
N-Gon Fishin' 2009,12352
Nice Nice,12279
Ninjas and Beer...,12567
"non-Prophets, Discorporated",12525
Northwest Mist,12251
Nose Fish,12386
Nothing Works,12872
NYC Container Camp,12683
NYrvana Village,12758
Oasis 47,12376
Oasis Camp,12197
obno X ious,12817
Ocean's Serene,12548
Oden's Eye Apple Cider,12302
OMCC,12695
Oobleck,12807
Opulent DETH Temple,12429
Opulent Temple,12949
Otter ReEvolution #9,12939
Outpost23,12208
Overmind,12718
Pancake Playhouse,12408
Pandora's Lounge & FixIt Shoppe,12985
PANGEA,12696
Pan's Garden,12122
Papa Legba,11992
Paradise Motel,12390
Party Naked Tiki Bar,12697
Pee Funnel Camp,12166
People's Art Congress (PAC),12262
Persian Excursion,12491
Petting ZOO,12557
PEX,12569
Philadelphia Experiment Village,12574
Phoenix Circle Village,12655
PHOTOGARTHO,12329
Pi Camp,12620
Picasso Camp,12303
Pickle Joint,12289
Pickle Joint,12291
Pigamilions: Opposable Hooves,12663
Pillowasis,12687
Pink Mammoth,12618
Pixelstad,12407
Planet Earth,12378
Planet Pink,12602
Planetarium Camp,12994
Playa Del Fuego Country Club,12512
Playa Go Round,12755
Playa International,12537
Playa Jazz Cafe,12796
PLAYA MAGIC,12374
Playa Surfers,12304
Playagon,12735
PlayaMonkey's Super#1 Fun Camp,12494
Playaneer Emporium,12424
PlayaPets,12553
PLAYATART'S PARLOUR,12981
Playawastes Raider Camp,12014
Pleasair,12955
Pleasure Garden,12581
Pleasure Island ,12342
Pod of Bliss,12480
PolyParadise,12169
Poppycock,12678
Postal Telegram Office,12828
Potato Camp,12938
PPR: The Prod Pump and Rest,12641
PRESERVED IN TIME,11998
Primate Playground & BRC_GPS,12871
Primitive Technologies,12956
Primordial Swamp,12058
Pro Leisure Tour,12038
Projekteers Petri Dish,12822
Prometheatrics,12544
Psychic Taxi,12611
Punctuated Equilibrium,12933
PUREPLAYA,12730
Purple Palace Camp,12123
Pussy Hut,12827
Putt-Putt Playa,12587
PVM (Positive Vibe Movement) ,12622
Pyramid Scheme the sequel.,12804
Pyronauts Camp,12953
Quantum Beats,12977
Quixotes Presents The Man and Monkey Pub,12562
Radio Electra 89.9 FM,12159
"Random and Unnecessary Camp, The",12505
Rathskellar,12629
Rave'Ns Nest,12492
RECLINERS,12496
Red Lightning,12940
Redirection Connection,12564
Relaxomatic Plushitorium,12756
RELOVUTION,12995
Reno Housewives,12642
RevoFuckinLution,12191
rEVOLVE Your Balls,12706
RhythmWave,12724
Risa,12674
Roarax Rounge,12673
Robosapiens,12583
Robot Heart,12692
ROBOTRONIA,12261
Rock Bottom,12680
RockStar Orphans,12125
Root Society,12414
RUB A DUB,12723
Rubber Chicken Camp,12633
Rue Morgue,12073
Sacred Spaces Village,12856
Safer Sex Camp,12380
Sake Watering Hole,12815
Sakenoma,12517
Sala Of Unnamed Love,12832
Salon Soleil,12478
Samba Stilt Circus,12456
Sandbox Camp,12690
Save the Man,12967
SchweinKamp,12997
Science Vs Superstition: ChessKamp,12795
Scotch & Hop,12679
Semuta Lounge,12364
Sex Filth Avenue Boutique ,12323
Sexy Trampoline,12337
Shady Waffle,12703
Shadyvil,12658
Shaman Dome,12395
SHIFT,12740
SHIFT,12774
Shipwreck tiki Lounge,12700
Silicon Village,12855
Sin City,12590
Sin City DJ,12971
Sinister Minister,12624
Skinny Kitty Teahouse,12349
Slutgarden,12377
S'mores n Amour,12050
Snow Koan Solar,12814
Snowflake Village,12412
sober Free society,12210
Soleye,13016
Sore Nipple Camp,11993
Soulicious,12993
South of All Borders,12760
Space Camp,12824
Space Cowboys,12929
Space Elevator,12656
Space Monkey Mafia: The Theme Camp,12932
Space Virgins / Area 47,12978
Spaced Science Lab,12777
Spank the Monkey's Darwin Lounge,12726
Spanky's Village,12141
Sparkle Pony Corral,12578
Sparky's House of Phlame,12453
Spearmint Dino Bar,12230
Spider Melon Camp,12711
Spilt Milk,12503
SPIN ART CAMP,12107
Spirit Dream Interpretation Cafe,12448
Spock Mountain Research Labs,12556
Spontaneous Planning Camp,12416
Squid Row,12752
Stalker Camp,12702
STAMP CAMP,12065
Stardust Lounge,12518
StateSide Dubstep,12927
Steam Bath Project,12394
Storm Pilots,12229
Storybooks in Alleyways,12393
Sukkat Shalom,12751
Sunrise Coffee Camp,12784
SunSets,12838
Super 8 Sasquatch,12998
SuperMonkeys,12267
Surly Camp,12447
Suspended Animation,12139
Sweaty Betty's Misting Parlor,12093
Tabula Rasa,12766
Tahoe,12732
Tango'd Up In Blues,12961
taoscamp,12745
Tarwater,12173
Temple Camp,12558
Temple Of The Flying Spaghetti Monster,12584
Temple of the Hand,12775
Tequila Shack,12269
Terminal City,12055
That Bloody Camp,12657
The Boobs and the Bees,12846
The Booby Bar,12180
The Brain,12948
The Bubble Lounge,12954
The Buddha Bunny Camp,12561
The Bush,12052
The Disco Mafia,12648
The Dump,12345
The Elders,12431
The Fun Cult,12988
The Garden Chillicious,12694
The G-Spot,12974
THE HIVE/ BEECHARGE!!!,12375
The Hollywood Death Squad,12651
The Immaculate Temple of Kreation,12715
The Karma Chickens,12925
The Liquid Latex Lounge,12183
The Lost Boys,12659
The Lost Penguin Cafe,12579
The Mansonian Institute,12806
The MidNite Popcorn Palace,12368
The Modern Religion,12968
The Oakltopia Oaktopuss,12555
THE PERFECT WORLD,12607
The Phage,12731
The Poisoned Palace,12926
The Portal Patch,12987
The Red Eye,12754
The Sanctuary,13013
The Shallow End (of the gene pool),12604
The Time Colony,12484
The Tittyman Camp,12155
The Treehouse,12213
The Wander's Camp,12499
The womb,12859
Tiki Fuckos,12952
Tikidom,12931
Time of Your Life!,12857
Tissue and a Plan,12452
Tomorrows Panties,12265
ToneAge - rEvolution,12298
Toon Town Disco,12982
Tramp Stamp Camp,12530
Transformation Beyond Zion ,12934
Transmorphagon,12459
Trashistan,12524
Tree Ring Circus,12328
Tribal Thunder,12455
Trifuckta,12684
Tropical Crocodile,12501
True Mirror Palace,12039
TSUNAMI CAMP,12473
Twilight Over Atlantis,12802
Twilight Spaghetti Theatre,12129
Two Lanterns Camp,12547
UBER TUBERS,12627
UberPod,12667
Ultra Stunt Danger Academy,12619
Unintelligent Design Society,12315
Unnatural History Museum,12591
Urban Jungle,12733
VAMP CAMP,12312
VegCamp,12867
Velvet Soulmine,12284
Vibrator Repair Camp,12074
Videogasm,12868
Vietnamese Iced Coffee Camp (VICC),12477
Viking Ski Camp,12493
Vinland,12773
Virus camp,12866
Visionary Village,12970
Volcano Woshippers,12727
Voted Best Camp,12322
VW Bus Camp,12559
Wabi,12275
Want It,12843
WearYourFunkyHatPantsCamp,12294
Where's Waldo? Camp,12652
Whiskey & Whores Saloon,12996
Whiskey Lounge,13002
Whisky and Dust @ Mile High Club,12185
White Dragon Noodle Bar,12661
White Light Warrior,12739
WhiteTrashSuperstars F**K yr couch,12849
Windbinge,12406
Winterland,12411
Wishing Star,12495
World Evolution Discoasis,12668
world pece ,12019
XPAT ALIEN,12588
Yabba Dabba Dome,12413
Yellow Gorilla Lounge,12984
Yes Please,12650
Yes! Have Some,12640
YMI?,12087
YOU ARE HERE,12398
YOU KNOW YOU WANT IT WANT IT,13074
Yummy RUMInations,12842
Yurt Cafe,12989
ZanZibar Lounge & Bar,12528
Zenbobway,12791
ZOMBEEZ,12451
Zondernaam,12202
Zookeeprz Camp,12116
"???",13030
LAFer Camp,12353
L.E.D.'ers of the rEvolution,12507
Lava Lounge,12763
Kroozr $kid Nation,12809
K-Svert 106.5FM Radio and Stage,12282
kink'os,12404
Kozmik Dust,12277
Le Kafe,12786
"??",13031
